Complexity metrics,÷‹ŒÂ, 15 3‘¬ 2024 16:03:38 CST
Method,CogC,ev(G),iv(G),v(G)
Exp.Exp(String),0,1,1,1
Exp.changePower(BigInteger),0,1,1,1
Exp.derive(),0,1,1,1
Exp.getVars(),1,1,2,2
Exp.unfoldContent(),0,1,1,1
"Expr.Expr(ArrayList<Term>, ArrayList<Token>)",0,1,1,1
Expr.derive(),1,1,2,2
Expr.getTerms(),0,1,1,1
Expr.getVars(),10,1,7,7
Function.Function(String),6,4,5,5
Function.getFunName(),0,1,1,1
Function.subFunction(String),30,1,17,18
Lexer.Lexer(String),3,1,2,10
Lexer.getPos(),0,1,1,1
Lexer.move(),0,1,1,1
Lexer.notEnd(),0,1,1,1
Lexer.nowToken(),0,1,1,1
Lexer.stringDer(String),4,1,3,4
Lexer.stringExp(String),4,1,3,4
Lexer.stringNum(String),5,3,2,5
Main.main(String[]),1,1,2,2
Num.Num(BigInteger),0,1,1,1
Num.derive(),0,1,1,1
Num.getVars(),0,1,1,1
Operation.dealFunction(String),0,1,1,1
Operation.functionDeal(),19,1,7,8
Operation.getResult(),0,1,1,1
Operation.merge(),1,1,2,2
Operation.preDeal(),3,1,3,4
Operation.setBeforeStr(String),0,1,1,1
Operation.unfold(),14,1,6,7
Parser.Parser(Lexer),0,1,1,1
Parser.parserExpr(),2,1,3,3
Parser.parserFactor(),5,5,5,5
Parser.parserTerm(),18,1,9,9
"Term.Term(ArrayList<Factor>, ArrayList)",0,1,1,1
Term.derive(),6,1,4,4
Term.getFactors(),0,1,1,1
Term.getVars(),6,1,4,4
"Token.Token(Type, String)",0,1,1,1
Token.getContent(),0,1,1,1
Token.getType(),0,1,1,1
Var.Var(String),0,1,1,1
"Var.changePower(BigInteger, String)",1,1,1,4
"Var.changeRatio(BigInteger, String)",1,1,1,4
Var.derive(),2,1,2,2
Var.getOtherFactors(),0,1,1,1
Var.getPower(),0,1,1,1
Var.getRatio(),0,1,1,1
Var.getVarName(),0,1,1,1
Var.getVars(),0,1,1,1
Var.setOtherFactors(String),1,1,1,2

Class,OCavg,OCmax,WMC
Exp,1.20,2,6
Expr,2.50,6,10
Function,5.33,11,16
Lexer,3.25,11,26
Main,2.00,2,2
Num,1.00,1,3
Operation,3.43,8,24
Parser,3.75,7,15
Term,2.50,4,10
Token,1.00,1,3
Token.Type,n/a,n/a,0
Var,2.00,5,20

Package,v(G)avg,v(G)tot
,2.81,146

Module,v(G)avg,v(G)tot
hw1-3,2.81,146

Project,v(G)avg,v(G)tot
project,2.81,146

